ObjectID,GlobalID,Target Species,Other Species,Comments,Approximate Area of Population,Evidence of Disturbance/Damage,If Other Factor Please Specify,Approximate Number of Individual Plants Present and Accessible,Percent of Population in Vegetative Growth,Percent of Population Flowering,Percent of Population with Developing Seed,Percent of Population with Mature Seed,Percent of Population Post Seed-Dispersal,Select the Most Frequently Occurring Seed Type,Other Damage:,Estimated Number of Healthy Seeds per Fruit,Estimated Number of Fruits per Stem,Estimated Number of Stems per Individual Plant,Viability Calculation Result,Estimate the Number of Individual Plants at Natural Dispersal Stage,Are You Collecting Seeds on This Trip?,Primary Key,General Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor
408,071536a3-2ffd-42b5-9794-58e877dd9bdc,ACNE9,,,0.25,No_Damage,,100,0,0,0,95,5,Healthy,,1,22,2,880,>50,no,20240805_44.58290925912674-107.58543206387057,,30d4fad0-215c-4686-8cd7-738af685bba1,########,cnhp_guest7,########,cnhp_guest7
409,05607db8-3223-4283-a53d-1c1601b82675,None,,,0,Other,Invasive species,0,0,0,0,0,0,Empty,,0,0,0,0,<50,no,20240807_39.38048374-105.09924934,Lot's of Bromus inermis so we decided not to collect.,8cb2f421-2e14-4077-8a66-d2bfe3981005,########,cnhp_guest4,########,cnhp_guest4
410,c46ccf29-c482-4033-9e03-cc3daa9400f2,DAPU,,,2,Other,Campground,500,0,10,70,20,0,Healthy,,1,0,5,0,>50,yes,20240807_39.14913838-105.10933543,,03cd740f-68b5-4d1e-8eb6-b7296f3d0043,########,cnhp_guest4,########,cnhp_guest4
411,bfbd22af-0fcf-4759-8018-3e7676c5b691,LIPU,,,2,Other,Campground,100,15,75,10,0,0,Immature,,0,0,0,0,<50,no,20240807_39.14913838-105.10933543,,03cd740f-68b5-4d1e-8eb6-b7296f3d0043,########,cnhp_guest4,########,cnhp_guest4
412,8f317281-8d1c-4c89-9868-65c877475a84,Other,Thermopsis rhombifolia,,2,No_Damage,,1000,80,0,0,20,0,Healthy,,5,5,3,15000,>50,no,20240811_39.40502988-105.71967245,,92ea9c10-ed3f-4dde-912f-2068e0782abc,########,cnhp_guest4,########,cnhp_guest4
413,ae0e2779-cf49-44ad-968e-98888ec01874,Other,Bromus ciliatus,,2,No_Damage,,200,0,5,95,0,0,Immature,,0,0,0,0,<50,no,20240811_39.40502988-105.71967245,,92ea9c10-ed3f-4dde-912f-2068e0782abc,########,cnhp_guest4,########,cnhp_guest4
414,8dd142f5-6226-4ebb-9e2c-57b97e4ee89e,Other,Thermopsis divaricarpa,,10,No_Damage,,3000,0,0,25,50,25,Healthy,,7,5,7,147000,>50,yes,20240812_39.37335047-105.74067074,,e52ee769-7385-498d-97e8-4303f8a73b6f,########,cnhp_guest4,########,cnhp_guest4
415,227981eb-45f2-4d51-8401-f60ae17ae81e,KOMA,,,2,No_Damage,,200,10,60,20,10,0,Immature,,2,30,5,12000,<50,no,20240812_39.37335047-105.74067074,,e52ee769-7385-498d-97e8-4303f8a73b6f,########,cnhp_guest4,########,cnhp_guest4
416,938f77ba-0b30-4fae-ba30-e5ad64fed68b,CHAN9,,,3,No_Damage,,300,80,15,5,0,0,Immature,,0,0,0,0,<50,no,20240812_39.37335047-105.74067074,,e52ee769-7385-498d-97e8-4303f8a73b6f,########,cnhp_guest4,########,cnhp_guest4
417,1043d893-5e94-4e63-a26a-4345b775d42e,Other,Bromus ciliatus,,1,No_Damage,,100,0,50,50,0,0,Immature,,0,0,0,0,<50,no,20240812_39.37335047-105.74067074,,e52ee769-7385-498d-97e8-4303f8a73b6f,########,cnhp_guest4,########,cnhp_guest4
418,8d944f3f-f306-4329-be3b-0533a698b192,Other,Muhlenbergia montana,,5,No_Damage,,500,5,60,30,5,0,Immature,,0,0,0,0,<50,no,20240812_39.37335047-105.74067074,,e52ee769-7385-498d-97e8-4303f8a73b6f,########,cnhp_guest4,########,cnhp_guest4
419,dbd27419-9d59-4d9d-85ef-42fd5d2e2c79,None,,Some targets present but in low quantities,5,No_Damage,,0,0,0,0,0,0,Immature,,0,0,0,0,<50,no,20240812_39.34846188-105.63778545,,674b0614-7e08-4f09-83e0-b0f1c117dd41,########,cnhp_guest4,########,cnhp_guest4
420,032c73a7-8ce7-41cc-ac01-ff76857ed19e,PEVI3,,,3,No_Damage,,1000,0,0,5,95,0,Healthy,,25,20,2,200000,>50,yes,20240806_39.38028908-105.10121718,,c3bc9f27-818e-4272-b6d1-cd2dbb1cf519,########,cnhp_guest4,########,cnhp_guest4
421,e61d1e08-f847-4911-bdee-24459090c80a,ACNE9,,,5,No_Damage,,500,0,0,0,30,70,Immature,,1,0,3,0,>50,yes,20240806_39.38028908-105.10121718,,c3bc9f27-818e-4272-b6d1-cd2dbb1cf519,########,cnhp_guest4,########,cnhp_guest4
422,275bbf99-0c7f-454a-a549-6a658e9ef93d,Other,Thermopsis divaricarpa,,0.5,No_Damage,,1000,0,0,0,75,25,Healthy,,5,5,5,25000,>50,yes,20240806_39.38028908-105.10121718,,c3bc9f27-818e-4272-b6d1-cd2dbb1cf519,########,cnhp_guest4,########,cnhp_guest4
423,5c51739a-8d14-4399-bc67-eef841d0bc90,ERUM,,,3,No_Damage,,500,0,0,5,90,5,Healthy,,0,0,0,0,>50,yes,20240807_39.40084748-105.16702051,,743eaaa6-5b20-4443-af9d-727b3e915284,########,cnhp_guest4,########,cnhp_guest4
424,42b30c35-06c7-4bd8-a993-fd2f7d544c29,HEVI4,,,10,No_Damage,,2000,0,100,80,80,80,Healthy,,1,37,21,310800,>50,yes,20240807_39.40084748-105.16702051,,743eaaa6-5b20-4443-af9d-727b3e915284,########,cnhp_guest4,########,cnhp_guest4
425,bf9f9372-2bc4-439d-b46d-88fbde19867c,LIPU,,,5,No_Damage,,200,5,95,0,0,0,Immature,,0,0,0,0,<50,no,20240807_39.40084748-105.16702051,,743eaaa6-5b20-4443-af9d-727b3e915284,########,cnhp_guest4,########,cnhp_guest4
426,02f98cf8-6d5f-4b19-8b5b-410fa3ab9bfe,Other,Muhlenbergia montana,,8,No_Damage,,1500,10,60,25,5,0,Immature,,0,0,0,0,<50,no,20240808_39.09090812-105.090612,,3344d5de-5552-4c9b-8a63-ad750cab03f5,########,cnhp_guest4,########,cnhp_guest4
427,22973f0a-0ce4-469c-8289-57f2f9e5c9e4,BOGR2,,,8,No_Damage,,3000,20,70,10,0,0,Immature,,1,54,0,0,<50,no,20240808_39.09090812-105.090612,,3344d5de-5552-4c9b-8a63-ad750cab03f5,########,cnhp_guest4,########,cnhp_guest4
428,b2a00907-5b73-40de-8e18-f8a4f1f9f137,DAPU,,,1,Grazed_Domestic,,500,5,15,55,20,5,Healthy,,0,0,0,0,>50,yes,20240808_39.08777564-105.0868222,,2b8af278-25cb-412b-a0ae-a7f147984e82,########,cnhp_guest4,########,cnhp_guest4
429,a608bf3c-6fea-4ffe-997a-0515638dc598,Other,THDI4,,10,No_Damage,,1500,0,0,10,75,15,Healthy,,5,7,5,52500,>50,yes,20240808_39.04636326-105.09276274,,e31c07bc-732e-4b3a-9fc7-bfc236ce1596,########,cnhp_guest4,########,cnhp_guest4
430,5ebb7d4c-09f4-42b8-9b5c-86e7154ceed5,KOMA,,,15,No_Damage,,300,0,15,80,5,0,Immature,,2,30,3,10800,>50,no,20240808_39.07108304-105.14512935,,24aa4cdd-cd3e-4476-9a08-97fdbdfe0862,########,cnhp_guest4,########,cnhp_guest4
431,16ecb6e9-fb1d-4a89-bdca-3cd0de139720,Other,Trisetum spicatum,,15,Insect_damage,,1000,0,70,25,5,0,Immature,,0,0,0,0,>50,no,20240808_39.07108304-105.14512935,,24aa4cdd-cd3e-4476-9a08-97fdbdfe0862,########,cnhp_guest4,########,cnhp_guest4
432,e6273c68-28b3-49df-89c8-cc63dd8bb054,Other,Sporobolous aroides,,0.25,No_Damage,,200,5,85,10,0,0,Immature,,1,0,10,0,<50,no,20240808_39.15110762-105.10372881,High clearance 4x4 recomenned for this road,9d21476a-97e2-4075-a601-94dd69669dae,########,cnhp_guest4,########,cnhp_guest4
433,02b0c522-2d86-4e89-8820-fc6d1a2867e6,Other,Thermopsis divaricarpa,,8,No_Damage,,1000,0,0,10,40,50,Healthy,,5,7,5,35000,>50,yes,20240809_39.04705566-105.07361125,,009c15be-9f2f-455c-8ee8-9648c1f96688,########,cnhp_guest4,########,cnhp_guest4
434,1ad26acf-5415-44ec-966d-ee9618379ec5,ERUM,,,4,No_Damage,,2000,0,0,50,50,0,Healthy,,1,200,3,240000,>50,yes,20240810_39.03704845-106.02553667,,1fbae3e3-9adb-4032-8bb5-8932282b8f8c,########,cnhp_guest4,########,cnhp_guest4
435,f7b2d72d-b392-46b9-8f04-f7054f8e5f99,FEID,,,1,No_Damage,,1000,0,0,5,90,5,Healthy,,5,15,10,150000,>50,yes,20240810_39.03704845-106.02553667,Festuca idahoensis and F. saximontana both present. F. idahoensis most abundant on east end of meadow,1fbae3e3-9adb-4032-8bb5-8932282b8f8c,########,cnhp_guest4,########,cnhp_guest4
436,3129e887-3a99-479b-b231-5c5651d50e52,Other,Penstemon ryndbergii,,0.5,No_Damage,,150,0,5,85,10,0,Immature,,0,0,0,0,<50,no,20240810_39.03704845-106.02553667,,1fbae3e3-9adb-4032-8bb5-8932282b8f8c,########,cnhp_guest4,########,cnhp_guest4
437,99514ea3-aeae-4001-950a-2738650da3e8,Other,Geum triflorum,,3,No_Damage,,500,0,5,15,70,10,Healthy,,1,224,1,22400,>50,yes,20240810_39.02677452-106.09875989,,42f7d21d-c0ba-41da-8cc9-2041852c890f,########,cnhp_guest4,########,cnhp_guest4
438,b344cae9-0c3f-4157-b726-c9be62b67999,Other,Thermopsis divaricarpa,,2,No_Damage,,1000,0,0,95,5,0,Immature,,5,7,5,35000,<50,no,20240810_39.0270152-106.08194256,,f2c2ecbf-8591-4db9-a668-0f7d135e7c46,########,cnhp_guest4,########,cnhp_guest4
439,cafc375e-ee09-4f9f-a795-0e1af6bbde24,ACLE9,,,5,No_Damage,,1500,0,10,40,50,0,Healthy,,1,40,7,84000,>50,yes,20240810_38.94600861-106.04675672,"Smut on FEID in same locqtion, none noted on ACLE",38de5e24-f3ec-4b34-8835-7dd665681884,########,cnhp_guest4,########,cnhp_guest4
440,c9cfd071-744f-486c-9c24-3068755b1282,Other,Thermopsis divaricarpa,,3,No_Damage,,1000,0,0,30,35,35,Healthy,,5,7,5,35000,>50,yes,20240811_38.90612227-105.97595605,,e55951fb-5988-4990-8068-5233804a5065,########,cnhp_guest4,########,cnhp_guest4
441,dd1dac09-6ef9-445d-a700-ae3d4b66415e,THMO6,,,1,No_Damage,,500,0,0,10,40,50,Healthy,,7,5,7,24500,>50,yes,20240811_38.90612227-105.97595605,,e55951fb-5988-4990-8068-5233804a5065,########,cnhp_guest4,########,cnhp_guest4
442,621b40cb-773a-4cb8-a53b-54c98fff96ba,PEVI3,,,5,No_Damage,,250,10,0,0,60,30,Healthy,,9,6,2,5400,>50,no,20240813_39.84012518-105.50862522,KOMA also present ,6abb74ea-0425-48f0-b9db-c68f86298873,########,cnhp_guest7,########,cnhp_guest7
443,3dcbdc8b-0294-4ae7-8822-ca415c951ccc,RACO3,,,5,No_Damage,,4000,5,30,50,20,0,Immature,,1,300,7,1680000,<50,no,20240724_40.81356157-104.41690442,,f76a07f5-c5f3-4ef1-b8c3-dcc2ec8a74d6,########,ac15_CSUesri,########,ac15_CSUesri
444,868df491-95aa-40ed-92b2-c7ba2155a10c,POSE,,,2,No_Damage,,100,0,0,5,60,35,Healthy,,2,30,3,3600,>50,no,20240724_40.81356157-104.41690442,,f76a07f5-c5f3-4ef1-b8c3-dcc2ec8a74d6,########,ac15_CSUesri,########,ac15_CSUesri
445,47568edb-c0b7-470f-bb44-78e5fdd90cb3,PASM,,,20,Insect_damage,,10000,5,0,20,10,65,Empty,,7,8,5,560000,>50,no,20240724_40.81356157-104.41690442,"Phenology updated 07/23, PASM empty from hot & dry early summer.",f76a07f5-c5f3-4ef1-b8c3-dcc2ec8a74d6,########,ac15_CSUesri,########,ac15_CSUesri
446,c976e5dc-b724-425c-8438-788b824146d1,RACO3,,,5,No_Damage,,150,5,65,20,10,0,Immature,,1,300,5,45000,<50,no,20240723_40.76884095-104.60452539,Phenology update 07/23,fd789fc5-b916-44bb-b468-b4da392b7e24,########,ac15_CSUesri,########,ac15_CSUesri
447,5c721cb1-4a5c-449f-84c1-1a164df37251,BOGR2,,,20,No_Damage,,2000,0,0,0,0,100,Empty,,1,54,10,216000,<50,no,20240723_40.76884095-104.60452539,Phenology update 07/23,fd789fc5-b916-44bb-b468-b4da392b7e24,########,ac15_CSUesri,########,ac15_CSUesri
448,276e8b2d-83c6-47a1-acd5-a35f21f685ff,PASM,,,20,Grazed_Domestic,,30000,0,0,0,0,100,Empty,,7,8,5,1680000,<50,no,20240723_40.76884095-104.60452539,,fd789fc5-b916-44bb-b468-b4da392b7e24,########,ac15_CSUesri,########,ac15_CSUesri
449,8248e920-bd20-4e96-b7ba-07750c7aee6b,PEAL2,,,2,No_Damage,,50,0,0,0,0,100,Empty,,30,25,5,37500,<50,no,20240614_40.80058494-103.99593018,"Phenology update 07/24, mis id'd DACA as DAPU5 ",49a8b815-1eb1-4ede-a3dd-168d9814f23f,########,ac15_CSUesri,########,ac15_CSUesri
450,3ff69f5c-e2c3-4261-ac8d-cfc88282e7cb,THRH,,,2,Insect_damage,,50,0,0,0,0,100,Empty,,7,5,7,2450,<50,no,20240614_40.80058494-103.99593018,Phenology update 07/24,49a8b815-1eb1-4ede-a3dd-168d9814f23f,########,ac15_CSUesri,########,ac15_CSUesri
451,9bbab331-7941-411e-b7fc-0bc4468ea6d8,KOMA,,,5,No_Damage,,200,0,0,5,40,55,Empty,,2,30,4,9600,<50,no,20240614_40.80058494-103.99593018,Phenology update 07/24,49a8b815-1eb1-4ede-a3dd-168d9814f23f,########,ac15_CSUesri,########,ac15_CSUesri
452,f1301068-490f-4eb7-a3ad-870286a6ab8c,BOCU,,,2,No_Damage,,150,0,0,0,20,80,Empty,,1,0,5,0,<50,no,20240614_40.80058494-103.99593018,Phenology update 07/24,49a8b815-1eb1-4ede-a3dd-168d9814f23f,########,ac15_CSUesri,########,ac15_CSUesri
453,e93fdde4-4899-4cad-be5d-ecf92885090e,SCSC,,,5,No_Damage,,300,95,5,0,0,0,Immature,,2,0,0,0,<50,no,20240614_40.80058494-103.99593018,Phenology update 07/23,49a8b815-1eb1-4ede-a3dd-168d9814f23f,########,ac15_CSUesri,########,ac15_CSUesri
454,02b1aec1-c0b5-41ac-8860-cf07f95923cc,BOGR2,,,10,No_Damage,,2000,0,0,8,15,85,Empty,,1,54,10,216000,<50,no,20240611_40.92650512-103.91531257,Phenology update 07/24,c11ab1f0-5c51-4454-b471-b54861bcf59d,########,ac15_CSUesri,########,ac15_CSUesri
455,438db292-5e49-4b6e-8e4f-d11146bb2888,PEAL2,,,2,No_Damage,,50,0,0,0,20,80,Empty,,30,25,5,37500,<50,no,20240611_40.92650512-103.91531257,Phenology update 07/24,c11ab1f0-5c51-4454-b471-b54861bcf59d,########,ac15_CSUesri,########,ac15_CSUesri
456,e4998e15-3c43-47f4-afe2-a06897ddc57a,SCSC,,,5,No_Damage,,200,95,5,0,0,0,Immature,,2,0,0,0,<50,no,20240611_40.92650512-103.91531257,Phenology update 07/4,c11ab1f0-5c51-4454-b471-b54861bcf59d,########,ac15_CSUesri,########,ac15_CSUesri
457,2ad7de2a-171c-453f-a17f-650268a67364,ERUM,,,30,No_Damage,,3000,0,50,40,10,0,Immature,,0,0,0,0,<50,no,20240528_40.69597251-105.5254534,Updated ERUM 7/28/24,b1eb0280-b03e-4d91-aae4-7f32ec14c2d7,########,cnhp_guest4,########,cnhp_guest4
458,8c164bb7-8043-46e5-bf0b-72fa0a825f2a,Other,,,25,No_Damage,,5000,0,50,45,5,0,Immature,,0,0,0,0,<50,no,20240528_40.69597251-105.5254534,Unsure which Penstemon species. Updated 7/28/24. Very tall & upright with purple flowers and glabrous leaves. Tallest sp. was about 4ft.,b1eb0280-b03e-4d91-aae4-7f32ec14c2d7,########,cnhp_guest4,########,cnhp_guest4
459,93411d49-32d5-4c74-bf87-37f730438b7f,NAVI4,,,15,No_Damage,,2000,0,0,0,80,20,Healthy,,1,91,3,109200,>50,yes,20240528_40.69597251-105.5254534,Updated 7/28/24,b1eb0280-b03e-4d91-aae4-7f32ec14c2d7,########,cnhp_guest4,########,cnhp_guest4
460,80a08ff8-79d5-4957-8a93-34e272ce0e3f,Other,Thermopsis sp. (unsure),,10,Insect_damage,,2000,0,0,0,0,100,Empty,,7,5,7,98000,<50,no,20240528_40.69597251-105.5254534,,b1eb0280-b03e-4d91-aae4-7f32ec14c2d7,########,cnhp_guest4,########,cnhp_guest4
461,bffbea25-1299-4cc6-bb81-fdad0d1369ba,LIPU,,,10,No_Damage,,2500,10,90,0,0,0,Immature,,0,0,0,0,<50,no,20240528_40.69597251-105.5254534,Updated 7/28/24. ,b1eb0280-b03e-4d91-aae4-7f32ec14c2d7,########,cnhp_guest4,########,cnhp_guest4
462,6138ea5b-215e-459b-8173-368066f2563e,MOFI,,,3,No_Damage,,500,20,60,15,5,0,Immature,,1,4,5,2000,<50,no,20240528_40.69597251-105.5254534,"Updated 07/28/24, in wet meadow below hillside.",b1eb0280-b03e-4d91-aae4-7f32ec14c2d7,########,cnhp_guest4,########,cnhp_guest4
463,4e09e481-627b-4671-b61b-b591fc892ab8,RACO3,,,20,Grazed_Domestic,,350,0,5,40,50,5,Healthy,,1,300,7,147000,>50,yes,20240725_40.68604992-104.36255597,,b89b1259-7e56-45e4-aa41-87eb162f9506,########,cnhp_guest4,########,cnhp_guest4
464,74b0c522-df29-4be2-809e-83c0bdca499f,PASM,,,15,Grazed_Domestic,,200,0,0,0,20,80,Empty,,7,8,10,22400,<50,no,20240725_40.68604992-104.36255597,,b89b1259-7e56-45e4-aa41-87eb162f9506,########,cnhp_guest4,########,cnhp_guest4
465,ff5a6bea-7a2e-4852-8271-2ae21f765cca,BOGR2,,,30,Grazed_Domestic,,3000,0,0,0,0,100,Empty,,1,54,10,324000,<50,no,20240725_40.68604992-104.36255597,,b89b1259-7e56-45e4-aa41-87eb162f9506,########,cnhp_guest4,########,cnhp_guest4
466,00ac1fc5-365a-4061-bab1-a769f1776353,HEVI4,,,2,No_Damage,,50,5,85,10,0,0,Immature,,1,37,21,7770,<50,no,20240725_40.68604992-104.36255597,,b89b1259-7e56-45e4-aa41-87eb162f9506,########,cnhp_guest4,########,cnhp_guest4
467,be062c52-ac83-4421-ac68-38fccae8cd57,KOMA,,,3,No_Damage,,500,0,0,10,80,10,Healthy,,2,30,8,480000,>50,yes,20240726_40.80723307-104.01194706,,009e43ef-5810-4722-9cad-523a94e1d995,########,cnhp_guest4,########,cnhp_guest4
468,3483d7e7-279f-4e56-b345-0fe4769f8553,RACO3,,,15,No_Damage,,400,5,15,30,45,5,Healthy,,1,300,3,72000,>50,no,20240726_40.71192034-104.42828245,,064a5abd-2c0f-444a-9907-be63be5faa00,########,cnhp_guest4,########,cnhp_guest4
469,53db9f04-270c-48df-a64a-e3d1510371d3,HEVI4,,,0.5,No_Damage,,325,5,50,20,20,5,Immature,,1,37,21,50505,>50,no,20240729_40.70212442-105.31400891,,9b1ce680-9319-443f-b296-76b8ebe7b6e0,########,cnhp_guest4,########,cnhp_guest4
470,a060f756-3298-4b15-9bcf-b75a085d3dce,HEVI4,,,5,No_Damage,,200,0,45,30,20,5,Immature,,1,37,21,31080,>50,no,20240614_40.81406173-104.04961446,Phenology update 07/25,1ebe0461-3e05-408e-ab89-bc09f2b33c32,########,cnhp_guest4,########,cnhp_guest4
471,945ab5f8-23ea-44ab-a09d-698036cf5ab6,PEAL2,,,5,No_Damage,,100,0,0,5,20,75,Empty,,30,25,5,75000,<50,no,20240614_40.81406173-104.04961446,Phenology update 07/25,1ebe0461-3e05-408e-ab89-bc09f2b33c32,########,cnhp_guest4,########,cnhp_guest4
472,43741941-2ba7-4b6e-b191-85e679415064,SCSC,,,5,No_Damage,,200,100,0,0,0,0,Immature,,2,0,0,0,<50,no,20240614_40.81406173-104.04961446,Phenology update 07/25,1ebe0461-3e05-408e-ab89-bc09f2b33c32,########,cnhp_guest4,########,cnhp_guest4
473,60bee893-b502-475a-8693-e50a81f502b7,BOGR2,,,15,No_Damage,,5000,0,0,0,5,95,Empty,,1,54,7,378000,<50,no,20240614_40.81406173-104.04961446,Phenology update 07/25,1ebe0461-3e05-408e-ab89-bc09f2b33c32,########,cnhp_guest4,########,cnhp_guest4
474,c37c3fff-3305-4041-b773-985fe7517e50,RACO3,,,2,No_Damage,,40,0,20,40,40,0,Healthy,,1,300,5,12000,<50,no,20240613_40.65700628-103.89810269,"Phenology update 07/25, ready not enough to collect.",5981897f-3981-490b-b90f-e7fbaeb7bd58,########,ac15_CSUesri,########,ac15_CSUesri
475,3fcf1948-7c52-43de-a637-663d9197a3ab,HEVI4,,,2,No_Damage,,150,5,30,60,10,0,Immature,,1,37,21,23310,<50,no,20240613_40.65700628-103.89810269,Phenology update 07/25,5981897f-3981-490b-b90f-e7fbaeb7bd58,########,ac15_CSUesri,########,ac15_CSUesri
476,80614b76-2fed-41fd-8c55-20415460e889,SCSC,,,5,No_Damage,,200,100,0,0,0,0,Immature,,2,0,0,0,<50,no,20240613_40.65700628-103.89810269,Phenology update 07/25,5981897f-3981-490b-b90f-e7fbaeb7bd58,########,ac15_CSUesri,########,ac15_CSUesri
477,8c2ce083-2ace-4279-850f-469a9f891059,PEAL2,,,2,No_Damage,,40,0,0,0,10,90,Empty,,30,25,5,30000,<50,no,20240613_40.65700628-103.89810269,"Phenology update 07/25, not enough to collect.",5981897f-3981-490b-b90f-e7fbaeb7bd58,########,ac15_CSUesri,########,ac15_CSUesri
478,c735b342-9130-45eb-9967-f56158081ae7,BOGR2,,,10,No_Damage,,1000,0,0,0,0,100,Empty,,1,54,10,108000,<50,no,20240616_40.85374313-104.5044356,Phenology update 07/25,3f984625-a6a8-478a-a0ef-36c253906a43,########,cnhp_guest4,########,cnhp_guest4
479,3704c62a-c7d0-4430-b1af-68450e32bd18,PASM,,,20,No_Damage,,2000,0,0,0,0,100,Empty,,7,8,5,112000,<50,no,20240616_40.85374313-104.5044356,Phenology update 07/25,3f984625-a6a8-478a-a0ef-36c253906a43,########,cnhp_guest4,########,cnhp_guest4
480,c9493829-b1d3-452d-a379-1812c9e1bd6c,THRH,,,5,Insect_damage,,50,0,0,0,0,100,Empty,,7,5,7,2450,<50,no,20240616_40.85374313-104.5044356,Phenology update 07/25,3f984625-a6a8-478a-a0ef-36c253906a43,########,cnhp_guest4,########,cnhp_guest4
481,6356ae32-a80e-44f1-bfcf-c85b08a29d1f,RACO3,,,5,No_Damage,,100,5,80,20,0,0,Immature,,1,300,5,30000,<50,no,20240615_40.77351557-104.65414389,"Phenology update 07/25, PEAL absent ",891ed187-5d4b-4bca-b3f2-5752689d5378,########,cnhp_guest4,########,cnhp_guest4
482,90da5751-8c4f-4462-bd17-3139bc50b4a6,Other,Carex inops,,10,No_Damage,,300,0,5,15,70,10,Healthy,,0,0,0,0,>50,no,20240615_40.77351557-104.65414389,"Unsure if inops, collected specimens to confirm id. Phenology update 07/25",891ed187-5d4b-4bca-b3f2-5752689d5378,########,cnhp_guest4,########,cnhp_guest4
483,ab675211-5d1f-45a3-ad6e-bde10673c770,PASM,,,20,Insect_damage,,2000,0,0,0,0,100,Empty,,7,8,5,112000,<50,no,20240615_40.77351557-104.65414389,Phenology update 07/25,891ed187-5d4b-4bca-b3f2-5752689d5378,########,cnhp_guest4,########,cnhp_guest4
484,b2507d59-2345-46ce-9569-30fb436ded8c,BOGR2,,,20,No_Damage,,2000,0,0,0,0,100,Empty,,1,54,10,216000,<50,no,20240615_40.77351557-104.65414389,Phenology update 07/25,891ed187-5d4b-4bca-b3f2-5752689d5378,########,cnhp_guest4,########,cnhp_guest4
485,bd87030d-87f3-4ed1-bb22-1b85741a028a,HEVI4,,,5,No_Damage,,100,5,60,30,20,10,Healthy,,1,37,21,15540,<50,no,20240615_40.76634757-104.67657476,Phenology update 07/25,fd62848a-d849-479d-9737-e8760cc0df38,########,cnhp_guest4,########,cnhp_guest4
486,a138b432-82c7-4090-92f3-4ca3a831d907,PASM,,,18,No_Damage,,1000,0,0,0,0,100,Empty,,7,8,8,89600,<50,no,20240615_40.76634757-104.67657476,Phenology update 07/25,fd62848a-d849-479d-9737-e8760cc0df38,########,cnhp_guest4,########,cnhp_guest4
487,600ddf02-f315-47fa-9756-5652141beded,BOGR2,,,10,No_Damage,,500,0,0,0,0,100,Empty,,1,54,12,64800,<50,no,20240615_40.76634757-104.67657476,"Phenology update 07/25, did not see RACO3",fd62848a-d849-479d-9737-e8760cc0df38,########,cnhp_guest4,########,cnhp_guest4
488,c3450ed1-2b28-4307-8374-90bb1059bf0a,RACO3,,,5,No_Damage,,75,0,50,30,20,0,Immature,,1,300,15,67500,<50,no,20240617_40.88646395-104.63552307,Phenology update 07/25,51a0e2f8-0f07-49f7-a577-270a384816f3,########,cnhp_guest4,########,cnhp_guest4
489,ab6c7c99-6780-4955-9431-7dfbdf0fc084,PASM,,,15,Other,Fungal damage,1500,5,0,30,65,0,Malformed/Other,Smut,7,8,7,117600,<50,no,20240617_40.88646395-104.63552307,Phenology update 07/25,51a0e2f8-0f07-49f7-a577-270a384816f3,########,cnhp_guest4,########,cnhp_guest4
490,c62798ad-c8d5-43fb-8dcf-5d2fa34a3b3e,BOGR2,,,10,No_Damage,,1000,0,0,10,0,90,Immature,,1,54,12,129600,<50,no,20240617_40.88646395-104.63552307,"Phenology update 07/25, second greenup started ",51a0e2f8-0f07-49f7-a577-270a384816f3,########,cnhp_guest4,########,cnhp_guest4
491,b8ae7005-e9ca-40ae-b955-f0edebd98525,HEVI4,,,1,No_Damage,,500,0,85,5,5,5,Healthy,,35,4,15,210000,<50,yes,20240807_39.37955651-105.10215356,,697cbd44-5689-4e7c-9ca9-a86594630ba0,########,cnhp_guest4,########,cnhp_guest4
492,4030b46e-6f62-49e8-bf91-710a7b10b9ca,Other,Muhlenbergia montana,,100,No_Damage,,500,0,70,30,0,0,Healthy,,1,48,30,144000,<50,no,20240808_39.04570571-105.08274346,,c50624d8-b8d2-4580-bdfb-6b7c82d6d3cb,########,cnhp_guest4,########,cnhp_guest4
493,0b8cb31c-33fd-4db6-a332-c4049d927ac8,Other,Muhlenbergia montana,,100,No_Damage,,500,0,10,90,0,0,Healthy,,1,48,30,144000,<50,no,20240808_39.05685951-105.08929473,,7a45f50b-2562-4cb7-8bd0-e76bd782a26d,########,cnhp_guest4,########,cnhp_guest4
494,6fa34430-669e-45d4-a6dc-884db679e568,FEAR2,,,10,Grazed_Domestic,,100,20,0,0,5,75,Empty,,0,0,0,0,>50,no,20240815_39.06826911-105.41170328,Do not collect here. Also hard to pick phenology bc grazed grasses are back in vegetative mode.,ff9c9d6b-e399-4067-a549-47d41163c644,########,cnhp_guest4,########,cnhp_guest4
495,174917e8-e6c7-4f2d-8d1d-2f2c547709d9,BOGR2,,,6,No_Damage,,1000,0,20,80,0,0,Healthy,,60,2,30,720000,<50,no,20240815_39.13344356-105.46407296,"Great site, close to main road, across from a campground and dispersed allowed all around. IDK about road quality bc I cant get past the first giant swale a couple 100 ft from the start of the road",5ab5b08c-ba12-453d-a59e-6285f661cb85,########,cnhp_guest4,########,cnhp_guest4
