Species,ObjectID,GlobalID,Species,Other Species,Comments,Approximate Area of Population,Approximate Number of Individual Plants Present and Accessible,Evidence of Disturbance/Damage,If Other Factor Please Specify,Notes,Percent of Population in Vegetative Growth,Percent of Population Flowering,Percent of Population with Developing Seed,Percent of Population with Mature Seed,Percent of Population Post Seed-Dispersal,Select the Most Frequently Occurring Seed Type,Other Damage:,Estimated Number of Healthy Seeds per Fruit:,Estimated Number of Fruits per Individual Plant,Viability Calculation Result,Are There at Least 50 Plants with Mature Seed in This Population?,Seeds_Collected,Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor,Associated Species
FEID,160,ee481853-dd6c-4967-b99c-58d123d89578,FEID,,,5,30000,Other,Smut,,5,0,10,70,15,Moldy,,,,,yes,no,,142d2499-ddc8-48d6-ab1d-e79050bf4be0,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,
FEID,161,198248fc-3f2a-42f8-9e98-467c40d4bd38,FEID,,,5,50000,Other,Smut,,5,0,5,50,40,Moldy,,,,,yes,no,,3a55ab98-e867-4eb4-9ec0-d32cde87dca8,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,"Dasiphora fruiticosa, rubber rabbitbrush, fringed sage, blue spruce, koeleria macrantha, elymus trachycaulus"
KOMA,162,1067d699-a6af-4490-b659-16c74ebec068,KOMA,,,5,5000,Other,Smut,,5,0,15,50,30,Moldy,,,,,yes,no,,3a55ab98-e867-4eb4-9ec0-d32cde87dca8,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,
FEID,163,ad252d4a-28c0-4fa4-b07b-3ae0d2ae37c7,FEID,,,3,50000,Other,Smut,,20,0,0,5,75,Empty,,,,,no,no,,cb0de236-dd1c-40da-9898-b38d430420c7,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,"Rubber rabbitbrush, artemisia tridentada, nassella viridula, achellia millefolium, bromus tectorum, antennaria spp."
FEID,164,f40fde44-f99b-47dc-97ff-45de133ceb11,FEID,,,10,1000000,Other,Smut,,20,0,0,10,70,Empty,,,,,yes,no,,5aca39ba-c9d6-4a04-9e6a-75b0a82ed296,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,"Artemisia tridentada, ericomeria nauseosa, hesperostipa comata, koeleria macrantha"
KOMA,165,f93c7621-cac9-479e-884c-5b1d056dee92,KOMA,,,10,200000,Other,Smut,,5,0,5,20,70,Empty,,,,,yes,no,,5aca39ba-c9d6-4a04-9e6a-75b0a82ed296,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,
FEID,166,6105b4ef-10c9-44ea-9a7f-d5645609f2b5,FEID,,,1.5,20000,Other,Smut,,10,0,0,10,80,Empty,,,,,no,no,Potentially festuca arizonica?,8cf825ff-0831-4631-9ad3-65060af23296,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,"Koeleria macrantha. Moutain muhly, carex spp., artemisia frigida, populus tremuloides"
ELTR7,167,f1de3a63-0326-47ec-9b3c-c451a9080492,ELTR7,,,2,2000,Other,Smut,,10,0,0,70,20,Moldy,,,,,yes,no,,0afe973f-605e-4b8b-9de0-a1c6921c4c18,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,"Festuca idahoensis, koeleria macrantha, nassella viridula, dasiphora fruiticosa"
FEID,168,5fab4ab2-2cc9-4238-8c0a-75652564d1de,FEID,,,2,2000,Other,Smut,,10,0,0,20,70,Empty,,,,,no,no,,0afe973f-605e-4b8b-9de0-a1c6921c4c18,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,
FEID,169,a7f03db5-7c5e-44fd-aa1f-65f340939455,FEID,,,3,2000,Other,Smut fungus,,20,0,0,30,30,Moldy,,,,,yes,no,,ee721617-39a8-4af6-9197-ca8cadd91582,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,"Artemisia frigida, achnotherum robustum, KOMA, BOGR2, NAVI4"
KOMA,170,e4317b87-ac57-48e5-bcfb-a4ba4076a2f0,KOMA,,,3,1000,Other,Smut fungus,,10,0,10,20,60,Moldy,,,,,yes,no,,ee721617-39a8-4af6-9197-ca8cadd91582,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,"Artemisia frigida, achnotherum robustum, FEID, BOGR2, NAVI4"
BOGR2,171,edc148e8-5fde-44e0-8780-6c147a532e96,BOGR2,,,3,1500,Other,Smut fungus,,20,0,5,15,60,Moldy,,,,,yes,no,,ee721617-39a8-4af6-9197-ca8cadd91582,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,"Artemisia frigida, achnotherum robustum, KOMA, FEID, NAVI4"
NAVI4,172,532235e8-66ba-40af-9b8f-eccdc7b81a6f,NAVI4,,,2,500,Other,Smut fungus,,10,0,20,30,40,Moldy,,,,,yes,no,,ee721617-39a8-4af6-9197-ca8cadd91582,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,"Artemisia frigida, achnotherum robustum, KOMA, BOGR2, FEID"
PASM,173,c302e8b0-22a1-495e-bd0f-f4e7c1e56029,PASM,,,0.5,500,Other,Smut fungus,,20,0,60,15,5,Moldy,,3,10,3000,yes,yes,"Not collecting because of smut evidence, may be more desirable collection site in the future",e7f2aa4c-45c1-4fe3-a8d1-89f747e36eb6,9/14/2023 21:15,ac15_CSUesri,9/14/2023 21:15,ac15_CSUesri,"Thermopsis spp, HETVIL, NASVIR, ELYGLA"
HEVI4,174,3d39d88e-f665-435e-a9a3-056d510404dd,HEVI4,,,0.5,500,Other,Potential smut,,20,60,20,0,0,Moldy,,,,,yes,no,,e7f2aa4c-45c1-4fe3-a8d1-89f747e36eb6,9/14/2023 21:15,ac15_CSUesri,9/14/2023 21:15,ac15_CSUesri,"Thermopsis spp., NASVIR, ELYGLA, PASSMI"
NAVI4,175,5872a112-9aae-4e94-b22a-0027594cfeb0,NAVI4,,,0.5,500,Other,Smut fungus,,10,0,60,25,5,Moldy,,,,,yes,no,,e7f2aa4c-45c1-4fe3-a8d1-89f747e36eb6,9/14/2023 21:15,ac15_CSUesri,9/14/2023 21:15,ac15_CSUesri,"Thermopsis spp., HETVIL, PASSMI, ELYGLA"
ELGL,176,df3869fe-0307-4934-b9b8-16caceeba8bd,ELGL,,,0.5,200,Other,Smut fungus,,10,0,55,30,5,Moldy,,,,,yes,no,,e7f2aa4c-45c1-4fe3-a8d1-89f747e36eb6,9/14/2023 21:15,ac15_CSUesri,9/14/2023 21:15,ac15_CSUesri,"Thermopsis spp., HETVIL, NASVIR, PASSMI"
THRH,177,7e7c9ec9-fe0e-40fb-82f5-4cd374de749c,THRH,Thermopsis spp. (likely rhombifolia),,0.25,100,No_Damage,,"In campground area, potential evidence of seeding along trail",20,0,20,50,10,Healthy,,,,,yes,no,,e7f2aa4c-45c1-4fe3-a8d1-89f747e36eb6,9/14/2023 21:15,ac15_CSUesri,9/14/2023 21:15,ac15_CSUesri,"HETVIL, ELYGLA, NASVIR, PASSMI"
DECE,178,a20a72eb-e915-46d8-822c-51f9df128468,DECE,,,2,20000,Other,Smut,,10,5,80,5,0,Immature,,,,,no,no,,260442a5-325b-4528-85f3-0c42265fbc9f,9/14/2023 21:15,ac15_CSUesri,9/14/2023 21:15,ac15_CSUesri,
ELTR7,179,66bc38de-b2ce-44ca-9f1a-ab33bda82c41,ELTR7,,,2,5000,Other,Smut,,5,0,80,15,0,Immature,,,,,no,no,,260442a5-325b-4528-85f3-0c42265fbc9f,9/14/2023 21:15,ac15_CSUesri,9/14/2023 21:15,ac15_CSUesri,
FEID,180,15e693ae-db42-4609-9ae7-e3f79a236eb0,FEID,,,1.5,25000,Other,Smut,,10,0,70,20,0,Immature,,,,,no,no,,260442a5-325b-4528-85f3-0c42265fbc9f,9/14/2023 21:15,ac15_CSUesri,9/14/2023 21:15,ac15_CSUesri,
KOMA,181,f20ceb14-b742-4e9c-a32f-25fcc1a7bfe4,KOMA,,,2,10000,Other,Smut,,10,5,80,5,0,Immature,,,,,no,no,,260442a5-325b-4528-85f3-0c42265fbc9f,9/14/2023 21:15,ac15_CSUesri,9/14/2023 21:15,ac15_CSUesri,
BOGR2,182,e7d11e12-3ab8-4398-a33b-afdaaec26059,BOGR2,,,3,1000,Grazed_Domestic,,Smut evident on many species,10,0,75,15,0,Moldy,,1,20,4000,yes,no,,36f8a83f-a667-4f3f-a836-aa329c22034a,9/14/2023 21:15,ac15_CSUesri,9/14/2023 21:15,ac15_CSUesri,"BROINE, ELYREP, ACHROB, THIINT, HEVI4"
BOGR2,183,8001c5d5-c3c4-48b3-9a5c-2bb9f9eaa09e,BOGR2,,,2,1500,Other,Some evidence of smut ,,10,0,55,35,0,Healthy,,,,,yes,no,"Shooting range nearby and 2023 crew experienced several bullets fly overhead; Did not perform seed cut test, some developing seeds may have been affected by smut",7ae8b124-868e-405c-9c55-315ff6b069ce,9/14/2023 21:15,ac15_CSUesri,9/14/2023 21:15,ac15_CSUesri,"HETVIL, NASVIR, Little Bluestem, THIINT, ACHROB"
HEVI4,184,09455d20-b2e7-4207-a41f-8f3ae6b57591,HEVI4,,,2,600,Other,General disturbance in tirewood collection site,,15,20,20,25,20,Healthy,,,,,yes,no,,7ae8b124-868e-405c-9c55-315ff6b069ce,9/14/2023 21:15,ac15_CSUesri,9/14/2023 21:15,ac15_CSUesri,"BOUGRA, NASVIR, Little Bluestem, THIINT, ACHROB"
NAVI4,185,d1cdfb65-7a33-4d18-b807-1a48f109952a,NAVI4,,,1,400,Other,Human disturbance with firewood collection,Some evidence of smut,10,0,35,35,20,Moldy,,,,,yes,no,,7ae8b124-868e-405c-9c55-315ff6b069ce,9/14/2023 21:15,ac15_CSUesri,9/14/2023 21:15,ac15_CSUesri,"HETVIL, BOUGRA, Little Bluestem, THIINT, ACHROB"
None,186,267c4d31-7b17-4586-8302-46bc1b6c38d9,None,,"ELTR7, POSE recorded as SEINET collection by Janet Wingate and there are no gramminoids in this dense conifer forest",,0,No_Damage,,0,0,0,0,0,0,Malformed/Other,None,,,,no,no,,3601eb96-bf10-4116-b1fe-b9c09f5bace6,9/14/2023 21:15,ac15_CSUesri,9/14/2023 21:15,ac15_CSUesri,
FEID,187,a0fa2480-5a4d-419c-986c-5258e9b8e509,FEID,,,0.5,500,Other,Smut fungus,,10,0,10,50,30,Moldy,,,,,yes,no,,c5b0d4c5-13c5-4c47-aaa6-faee53855760,9/14/2023 21:15,ac15_CSUesri,9/14/2023 21:15,ac15_CSUesri,"ELYTRA, KOLMAC, BROINE, BOUGRA, (PASM?), (DESCES or Sporobolus spp.)"
ELTR7,188,d3c95c25-0759-4087-aedc-441bb460a465,ELTR7,,,0.5,200,Other,Smut fungus,,15,0,5,50,30,Moldy,,,,,yes,no,,c5b0d4c5-13c5-4c47-aaa6-faee53855760,9/14/2023 21:15,ac15_CSUesri,9/14/2023 21:15,ac15_CSUesri,"FESIDA, KOLMAC, BROINE, BOUGRA, HETVIL, (PASM?), (DESCES or Sporobolus spp.)"
KOMA,189,c31ce20b-1d8e-4ffa-b56f-87b28629bd23,KOMA,,,0.5,300,Other,Smut fungus,,10,0,0,45,45,Moldy,,,,,yes,no,,c5b0d4c5-13c5-4c47-aaa6-faee53855760,9/14/2023 21:15,ac15_CSUesri,9/14/2023 21:15,ac15_CSUesri,"FESIDA, ELYTRA, BROINE, BOUGRA, HETVIL, (PASM?), (DESCES or Sporobolus spp.)"
BOGR2,190,eabafb4c-4409-442f-b8e2-740c8c684c73,BOGR2,,,0.5,400,Other,Smut fungus,,10,20,50,20,0,Moldy,,,,,yes,no,,c5b0d4c5-13c5-4c47-aaa6-faee53855760,9/14/2023 21:15,ac15_CSUesri,9/14/2023 21:15,ac15_CSUesri,"FESIDA, ELYTRA, BROINE, KOLMAC, HETVIL, (PASM?), (DESCES or Sporobolus spp.)"
HEVI4,191,bfafa850-d7a1-4b6d-85d8-69f63d8a19bc,HEVI4,,,0.5,300,No_Damage,,,15,25,20,20,20,Healthy,,,,,yes,no,,c5b0d4c5-13c5-4c47-aaa6-faee53855760,9/14/2023 21:15,ac15_CSUesri,9/14/2023 21:15,ac15_CSUesri,"FESIDA, KOLMAC, BROINE, BOUGRA, ELYTRA, (PASM?), (DESCES or Sporobolus spp.)"
FEID,192,3793b982-659a-459e-b17d-ae4fa30bb8ea,FEID,,,5,50000,"Grazed_Domestic,Smut_Fungal",,,5,0,5,30,60,Moldy,,,,,yes,no,,64f542dc-7032-4377-863c-ca2ef54e6896,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
HEVI4,193,9a79922b-e5b7-4f30-bc68-7632c1da7f14,HEVI4,,,1,5000,No_Damage,,,10,40,25,15,10,Healthy,,,,,no,no,,5239bd7f-c2b7-4684-a6e9-9f1bb3b4b342,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
FEID,194,0877f515-cec4-4e72-9de5-3226c10f5cf1,FEID,,,2,15000,No_Damage,,,5,0,0,15,80,Empty,,,,,no,no,,5239bd7f-c2b7-4684-a6e9-9f1bb3b4b342,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
FEID,195,bbe0a8a5-191a-45c0-8940-e90c241467a8,FEID,,,1,50000,No_Damage,,,10,0,0,5,85,Empty,,,,,no,no,,a0a71841-6f39-4186-8387-eb021186ad90,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
ELTR7,196,ff396fc9-b346-4c48-bd6d-cbc542cc5600,ELTR7,,,1,2500,No_Damage,,,5,0,5,30,60,Empty,,,,,yes,no,,6521bd76-3dcc-4ee0-a764-74e963e66cb6,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
FEID,197,68b76171-0531-4aff-b4bd-26d109635d2e,FEID,,,2,2000,No_Damage,,,5,0,0,15,80,Empty,,,,,no,no,,6521bd76-3dcc-4ee0-a764-74e963e66cb6,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
DECE,198,5c12394d-c046-49eb-ae21-a3592f1348ee,DECE,,,1,1000,Resown,,"Very minimal spots, mostly on culms",5,0,5,15,75,Empty,,,,,no,no,,d90813f2-368d-4d3e-949f-11f51146c89f,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
ELTR7,199,d4af88fe-b21e-4b97-8385-eb9c8c288bd0,ELTR7,,,1,1500,Smut_Fungal,,"Very minimal spots, mostly on culms",5,0,5,20,70,Empty,,,,,no,no,,d90813f2-368d-4d3e-949f-11f51146c89f,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
ELTR7,200,e0ec7cdd-cbfe-4840-85de-66aace6d5ee6,ELTR7,,,2,600,Smut_Fungal,,,5,0,5,20,70,Empty,,,,,no,no,,a894eebe-9c31-4f9f-9678-c73400bbf909,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
DECE,201,931ab7ba-0be5-471c-900a-3156b7d0b9aa,DECE,,,0.5,2000,Smut_Fungal,,"Very minimal damage, present on calamagrosis as small spots",5,5,10,50,30,Healthy,,,,,yes,no,,a6bca452-46b5-46b8-bbe5-1d621a289fdc,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
None,202,f03fa514-cc8c-4401-964d-e9695b4ea031,None,,,0,0,Grazed_Domestic,,Heavily grazed,15,0,0,5,80,Empty,,,,,no,no,Area closed for resource protection. Did not see much speciesof interest along way up to Del Norte peak.,228ce89b-40e5-4d26-af04-f516ee07441d,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
FEID,203,6e03f44b-b5a0-4b41-9e1b-08f3b8ca0fcb,FEID,,,2,7500,Smut_Fungal,,Very minimal in shady/ drainage areas,10,0,0,5,85,Empty,,,,,no,no,,4d4f5ec0-8152-44db-b9b4-fc2282f136fa,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
BOGR2,204,c8b12c48-c65a-42a3-a185-1ab2316f7dcd,BOGR2,,,2,5000,No_Damage,,,10,0,0,0,90,Empty,,,,,no,no,,4d4f5ec0-8152-44db-b9b4-fc2282f136fa,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
HEVI4,205,a0c493f7-a080-42cb-80f1-477cbc132734,HEVI4,,,2,4000,No_Damage,,,20,0,0,10,70,Empty,,,,,no,no,,4d4f5ec0-8152-44db-b9b4-fc2282f136fa,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
ELTR7,206,4b57836a-6f28-4f2c-81c0-9adb1036d98d,ELTR7,,,0.5,500,Smut_Fungal,,,5,0,0,35,60,Moldy,,,,,yes,no,,20c2d288-3bf6-49d6-af2e-92871e2fe6f8,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
FEID,207,2e1ee4a8-7080-49f8-a106-cd2b7cf79373,FEID,,,1,1000,Smut_Fungal,,,5,0,0,25,70,Moldy,,,,,yes,no,,20c2d288-3bf6-49d6-af2e-92871e2fe6f8,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
FEID,208,f99e2f22-ebe6-465b-8066-5ca13596a022,FEID,,,2,5000,"Smut_Fungal,Grazed_Domestic",,,15,0,0,30,55,Moldy,,,,,yes,no,,c29f6e66-bf93-44ad-b470-fe4e471ec01e,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
DECE,209,6ea7bba3-6648-4d7d-ad66-896cdf8e1729,DECE,,,1,200,"Smut_Fungal,Grazed_Domestic",,,20,0,0,10,70,Moldy,,,,,yes,no,,c29f6e66-bf93-44ad-b470-fe4e471ec01e,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
ELTR7,210,85aec8f0-f205-429f-bda8-859f3dfa6b3e,ELTR7,,,1,100,"Smut_Fungal,Grazed_Domestic",,,15,0,0,25,60,Moldy,,,,,yes,no,,c29f6e66-bf93-44ad-b470-fe4e471ec01e,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
DECE,211,92e73b21-5d5c-453f-ad23-c8c6c9e33324,DECE,,,0.25,2500,Smut_Fungal,,,5,0,15,20,60,Moldy,,,,,yes,no,,6426456e-3b72-470c-8b44-31cacf08f49c,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
DECE,212,5e1088c9-be57-497a-a204-8f2a7a7db6f8,DECE,,,0.25,200,Smut_Fungal,,,10,0,5,20,65,Moldy,,,,,yes,no,,33c66cbd-f113-48eb-8aa0-1a33ae1c674b,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
FEID,213,518b43c4-b4f3-4c89-a1e0-068062c09fde,FEID,,,5,15000,Smut_Fungal,,,10,0,0,20,70,Moldy,,,,,yes,no,Unsure if FEID or other festuca,868bd01a-6763-45d7-ae0c-72d2ef997d78,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
None,214,8dae9ab9-4cf4-44ba-a012-bc2d35860ac7,None,,,,0,No_Damage,,,0,0,0,0,0,Malformed/Other,,,,,no,no,"SEINet observation of ELTR7. none found, but some KOMA and Festuca spp.",072b7861-e5b2-48bd-a91a-2920db7145c9,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
FEID,215,a3d9cf5a-edbc-43b2-ad16-6258f0c81dc3,FEID,,,2.5,10000,"Smut_Fungal,Grazed_Domestic",,,10,0,0,15,75,Moldy,,,,,yes,no,,f60d86d0-d725-4826-be09-27aef6b7b7de,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
FEAR2,216,7b7a2b29-89f5-43fc-b401-046ed5f9c3f4,FEAR2,FEAR2,,5,200000,No_Damage,,,5,0,0,20,75,Empty,,3,5,600000,yes,yes,,ce1a9867-a937-44d7-ac44-18ec4671c247,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
HEVI4,217,5e380a96-8aa1-4d8d-8745-7bd9502c4495,HEVI4,,,5,50000,No_Damage,,,5,35,35,10,15,Empty,,,,,yes,no,,ce1a9867-a937-44d7-ac44-18ec4671c247,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
KOMA,218,4080c281-c86c-4347-ab6c-3661a3dfa72f,KOMA,,,5,50000,No_Damage,,,5,0,0,10,85,Empty,,,,,no,no,,ce1a9867-a937-44d7-ac44-18ec4671c247,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
PASM,219,859d4f44-5f37-4c98-be39-82f9400c7188,PASM,,,5,25000,No_Damage,,,5,0,5,15,75,Empty,,,,,no,no,,ce1a9867-a937-44d7-ac44-18ec4671c247,9/26/2023 20:10,ac15_CSUesri,9/26/2023 20:10,ac15_CSUesri,
FEID,220,d22bea28-bff9-49b5-9479-637a6baa13f0,FEID,,,2,2000,Smut_Fungal,,,10,0,15,35,40,Moldy,,,,,yes,no,,b9f7733a-3202-4079-8ba9-d1f786bc37fd,9/26/2023 20:13,ac15_CSUesri,9/26/2023 20:13,ac15_CSUesri,
KOMA,221,1fe67fe9-b3d8-4ba1-8253-36fbaa1115e1,KOMA,,,2,500,Smut_Fungal,,,15,0,0,30,55,Empty,,,,,yes,no,,b9f7733a-3202-4079-8ba9-d1f786bc37fd,9/26/2023 20:13,ac15_CSUesri,9/26/2023 20:13,ac15_CSUesri,
BOGR2,222,81753c8a-8eee-4ab4-b0f3-91e181bfa757,BOGR2,,,2,250,Smut_Fungal,,,20,0,0,5,75,Empty,,,,,yes,no,,b9f7733a-3202-4079-8ba9-d1f786bc37fd,9/26/2023 20:13,ac15_CSUesri,9/26/2023 20:13,ac15_CSUesri,
DECE,223,1e922954-608e-4fa0-9d14-637d69c3becb,DECE,,,,1,Smut_Fungal,,,15,0,5,20,60,Empty,,,,,yes,no,,73e788f3-8390-475c-8c88-dbcc244adbb7,9/26/2023 20:13,ac15_CSUesri,9/26/2023 20:13,ac15_CSUesri,
FEID,224,9292795e-981f-45b0-bcd9-f4ef68cab621,FEID,,,1,150,Smut_Fungal,,,15,0,5,35,45,Moldy,,,,,yes,no,,73e788f3-8390-475c-8c88-dbcc244adbb7,9/26/2023 20:13,ac15_CSUesri,9/26/2023 20:13,ac15_CSUesri,
FEID,225,403f2adf-f467-416e-b75e-9080d6aaefad,FEID,,,2,1000,Smut_Fungal,,,15,0,5,35,45,Moldy,,,,,yes,no,,5d41026c-8826-4b1b-8467-56fde22e759d,9/26/2023 20:13,ac15_CSUesri,9/26/2023 20:13,ac15_CSUesri,
KOMA,226,6ffb6193-c81a-49db-9620-3e841b3a6827,KOMA,,,0.5,400,Grazed_Domestic,,,15,0,0,10,75,Malformed/Other,Unsure if healthy since most is already shattered,,,,yes,no,,03967ddd-80ef-4fd1-b81b-23f218d5ed9b,9/26/2023 20:13,ac15_CSUesri,9/26/2023 20:13,ac15_CSUesri,
HEVI4,227,9fa20747-2587-4a41-913e-ee8b0edebd68,HEVI4,,,0.8,5000,Insect_damage,,"Minimal dmg, removed beetles from collection bag",5,15,20,35,25,Healthy,,1,500,500000,yes,yes,,e6db9362-b3e2-4719-8cf5-bd02d31a3c0c,9/26/2023 20:50,ac15_CSUesri,9/26/2023 20:50,ac15_CSUesri,
BOGR2,228,1559660f-3e74-4eca-83fd-cff1f77ead41,BOGR2,,,5,25000,No_Damage,,,5,30,50,10,5,Immature,,1,20,100000,yes,no,,e6db9362-b3e2-4719-8cf5-bd02d31a3c0c,9/26/2023 20:50,ac15_CSUesri,9/26/2023 20:50,ac15_CSUesri,
FEID,229,b97b9ee3-fedc-42c4-8b7c-c3b6fa683113,FEID,,,5,100000,Grazed_Domestic,,,5,0,15,60,20,Healthy,,7,9,1260000,yes,yes,,c2716490-4fc5-4ae5-81c5-b5379f35a880,9/26/2023 21:08,ac15_CSUesri,9/26/2023 21:08,ac15_CSUesri,
PEVI3,230,cce31971-2ac5-4b6e-8e78-e7104b1c241f,PEVI3,"Penstemon virens, Front Range beardtongue",,4,5000,No_Damage,,,0,0,100,20,0,Healthy,,9,20,180000,yes,no,"original scout - 7/4/23 at which time population was at the height of flowering.  Two collections followed this scout - 8/25/23 and 9/1/23. I will mail the seed to you. I will also weigh it. Regarding the polygon, I will email you an image of the iNaturalist observation on map. We collected off trail in this zone. ",86079743-0b88-4871-8523-8951511222ff,9/27/2023 16:20,cnhp_guest4,9/27/2023 16:20,cnhp_guest4,
BOGR2,231,017e9b48-a150-4c62-beb5-9084284f70f6,BOGR2,,,4,10000,Smut_Fungal,,Smut on all present grasses ,0,0,0,95,5,Moldy,,1,30,0,yes,no,Scouting for EcoBot mtg 10-19. Not enough forbs to collect. Grasses have smut.,235c0313-1a70-40e6-96cd-313b03690c69,10/6/2023 20:04,cnhp_guest4,10/6/2023 20:04,cnhp_guest4,
KOMA,233,553377e2-ac32-4847-b7e1-dc4ce6d932a7,KOMA,,,5,50000,Smut_Fungal,,,5,0,5,50,40,Healthy,,1,150,1500000,yes,yes,,e313e683-4fb3-457b-9815-e052c68e49b0,10/19/2023 22:32,ac15_CSUesri,10/19/2023 22:32,ac15_CSUesri,
BOGR2,234,63c17c08-efc0-4b4d-bac5-203b393e4b90,BOGR2,,,5,75000,Smut_Fungal,,,5,0,5,40,50,Empty,,1,150,2250000,yes,yes,,682b5d09-6810-4684-b4e1-d1075c079271,10/19/2023 22:37,ac15_CSUesri,10/19/2023 22:37,ac15_CSUesri,
HEVI4,232,def9b4b3-6d8f-4cdb-af2d-84d96faf4c7d,HEVI4,,,5,100000,No_Damage,,,10,0,5,60,25,Healthy,,1,3900,78000000,yes,yes,,f7aa1152-b324-4243-a583-93885c82d308,10/19/2023 22:29,ac15_CSUesri,10/19/2023 22:29,ac15_CSUesri,
Other,235,08c3a177-4cd8-4540-9dc6-675ad5549e44,Other,Schizycharium scoparium,,1,15000,Smut_Fungal,,,5,0,15,50,30,Healthy,,,,,yes,yes,,cae37df0-826f-42b2-8854-92f613889f7d,10/19/2023 22:41,ac15_CSUesri,10/19/2023 22:41,ac15_CSUesri,
Other,236,52d5cab9-bce1-4f52-8526-a2bdd4ef1829,Other,Muhlenbergia montana,,5,100000,Smut_Fungal,,,5,0,15,60,20,Moldy,,,,,yes,yes,,fe5a30ae-d34f-446c-9280-5e4880c40d70,10/19/2023 22:45,ac15_CSUesri,10/19/2023 22:45,ac15_CSUesri,
FEID,251,e30f2259-a7b0-45cd-b408-059f03cc71f2,FEID,,,,10000,No_Damage,,,20,5,70,5,0,Immature,,,,,no,no,,de554e5b-ec1a-47c5-b8fc-92233fbb3dd8,10/23/2023 21:48,ac15_CSUesri,10/23/2023 21:48,ac15_CSUesri,
PSSP6,252,c7bbff90-19f8-48e7-8033-0373eaf6887e,PSSP6,,,,2500,No_Damage,,,10,5,80,5,0,Immature,,,,,no,no,,de554e5b-ec1a-47c5-b8fc-92233fbb3dd8,10/23/2023 21:48,ac15_CSUesri,10/23/2023 21:48,ac15_CSUesri,
FEID,253,58cf729e-a9b5-45d7-865a-5c75253beff4,FEID,,,,5000,No_Damage,,,20,5,70,5,0,Immature,,,,,no,no,,12dd2344-b636-4de9-85a4-7e061f51e2cb,10/23/2023 21:56,ac15_CSUesri,10/23/2023 21:56,ac15_CSUesri,
