ObjectID,GlobalID,Date,Latitude,Longitude,Elevation,Unit,Ranger District,Org_Code,Forest Name,Area Within District,Land owner,Location Details,Ecoregion,Provisional Seed Zone,Geology,Seed Collection Ref. Number,USFS Collection ID,Date Collection Started,Date Collection Ended,DateYMD,Recollection,Original Seed Reference Number,Collection Technique,Seeds Collected From,Reason for Collecting from Ground,Number of Plants Sampled,Number of Plants Found,Average Plant Height,Field Notes to Assist in Identification of Pressed Specimen,Coordinate Source,Accuracy,Accuracy of GPS Unit,GPS Datum,National Vegetation Classification,Modifying Factors,If Other Factor Please Specify,Slope,Aspect,Soil Texture,Number of Pressed Specimens,Date Voucher Taken,Herbaria names,How Confident are you in This Species' Identification?,Identified By,Material Identified,Date Identified,ID Comments,To be completed before you walk away from the site,CreationDate,Creator,EditDate,Editor,Associated Species,Notes on Associated Species,x,y
76,95f13af2-5e9b-4283-a9e7-6fd1be7733f6,8/26/2023 20:35,38.61346551,-106.7704007,9767,feet,20407,20407,"Grand Mesa, Uncompahgre and Gunnison National Forests",FR 743.4B,USFS,"From Hwy 135 north of Gunnison, go east on Lost Canyon Rd approx 8 miles, turn north/left at FR 743.4B for approx 0.20miles, stop on hillslope before reaching top approx. 0.10 mile",SR,0510HU,Sandstone,USFSR2-31,ELTR7_SR0510HU_020407_20230826,8/26/2023 14:40,8/26/2023 16:15,20230826,no,,Every_5,Plants,,50,500,1,,GPS,GPS,Within 5m,WGS84,CEGL002820,Grazed_Domestic,,7,E,Sandy_Clay,2,8/26/2023 18:00,Local,6,"Smith, J. ",From Pressed Specimen on Another Date,10/6/2023,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,,,-106.7704007,38.61346551
77,48caf42e-086c-47e0-8b77-d98568b1e43f,8/27/2023 15:38,38.62973736,-106.7299953,9494,feet,20407,20407,"Grand Mesa, Uncompahgre and Gunnison National Forests",FR 586.3E,USFS,"Going east on Lost Canyon Rd north of Gunnison, drive approx 10 miles to FR 586, follow FR 586 east then south then north approx 1 mile to FR 586.3E",SR,0510SH,Gneiss,USFSR2-32,ACNE9_SR0510SH_020407_20230827,8/27/2023 9:50,8/27/2023 16:15,20230827,no,,Every_5,Plants,,150,2000,2.5,,GPS,GPS,Within 5m,WGS84,M020,Grazed_Domestic,,17,SE,Sandy_Clay,2,8/27/2023 18:00,Local,9,"Smith, J.",From Pressed Specimen on Another Date,10/10/2023,"ID revised: glabrous top of sheath, translucent ligule, ligule not tightly rolled around seed - can see the hairy palea, it is ~1/3 the length of lemma, awn is about 20 mm, - Eriocoma nelsonii","landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,,,-106.7299953,38.62973736
78,9ca143d1-1b62-4a7e-b961-6ab93ed75edd,8/27/2023 16:00,38.62999834,-106.729641,9494,feet,20407,20407,"Grand Mesa, Uncompahgre and Gunnison National Forests",FR 586.3E,USFS,"Going east on Lost Canyon Rd north of Gunnison, drive approx 10 miles to FR 586, follow FR 586 east then south then north approx 1 mile to FR 586.3E",SR,0510SH,Gneiss,USFSR2-34,ELTR7_SR0510SH_020407_20230827,8/27/2023 11:00,8/27/2023 12:45,20230827,no,,Every_5,Plants,,50,1000,3,,GPS,GPS,Within 5m,WGS84,CEGL001533,No_Damage,,17,E,Sandy_Clay_Loam,3,8/27/2023 18:00,Local,8,"Gaddis, M.",In Field,8/27/2023 18:00,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,,,-106.729641,38.62999834
79,0260c6bc-f43c-495b-9371-68d293f89151,8/27/2023 15:53,38.62999834,-106.729641,9520,feet,20407,20407,"Grand Mesa, Uncompahgre and Gunnison National Forests",FR 586.3E,USFS,"Going east on Lost Canyon Rd north of Gunnison, drive approx 10 miles to FR 586, follow FR 586 east then south then north approx 1 mile to FR 586.3E",SR,0510SH,Gneiss,USFSR2-33,FEID_SR0510SH_020407_20230827,8/27/2023 10:00,8/27/2023 12:56,20230827,no,,20_percent,Plants,,510,100000,1,"lemma awns over 3mm, scabrous apically",GPS,GPS,Within 5m,WGS84,CEGL001533,No_Damage,,17,E,Sandy_Clay_Loam,3,8/27/2023 18:00,Local,8,"Gaddis, M.",In Field,8/27/2023 18:00,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,,,-106.729641,38.62999834
80,168b0ae3-4e01-4f59-bcf7-4c671bb64da2,8/24/2023 13:59,38.60911331,-106.7703665,9690,feet,20407,20407,"Grand Mesa, Uncompahgre and Gunnison National Forests",FR 604,USFS,"From hwy 135 going north from Gunnison, turn northeast onto the frontage road, then east onto CR 10. Continue onto CR 743 and turn southeast onto FR 604 and take for approx. .5 mi. Parked at the interestion with FR 604.2B.",SR,0510SH,Sandstone,USFSR2-28,ELTR7_SR0510SH_020407_20230826,8/26/2023 9:23,8/26/2023 14:45,20230826,no,,Every_5,Plants,,350,1500,1,,GPS,GPS,Within 5m,WGS84,CEGL00622,No_Damage,,5,NW,Sandy_Clay,3,8/26/2023 18:00,Local,7,"Gaddis, M.",In Field,8/26/2023 19:49,,"Individual_photo,landscape_photo,Material_photo,herbarium_vouchers,Bags,filled_out",8/29/2023 20:52,ac15_CSUesri,8/29/2023 20:52,ac15_CSUesri,,,-106.7703665,38.60911331
81,ec51c35c-56fd-4b34-bf87-272d5beedbfd,8/25/2023 17:03,38.59463664,-107.3949727,10403,feet,20408,20408,"Grand Mesa, Uncompahgre and Gunnison National Forests",FR 713.4A,USFS,"From Gunnison going west on hwy 50, turn northwest onto hwy 92, then north onto FR 719 (corral gulch). Take for approx. 4 mi then turn west on FR 716, then north onto FR 717 shortly after. Then turn onto FR 713.4A and travel for approx. 1/3 mi. ",SR,0005VH,Volcanic,,NAVI4_SR0005VH_020408_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,,,,,,,,,,,,,,,8/29/2023 20:52,ac15_CSUesri,8/29/2023 20:52,ac15_CSUesri,,,-107.3949727,38.59463664
82,23116502-b765-4e83-b0cd-d91e3e2ed4ee,8/25/2023 17:56,38.62649523,-107.3891691,10763,feet,20408,20408,"Grand Mesa, Uncompahgre and Gunnison National Forests",Trail creek trail no.872,USFS,"From Gunnison going west on hwy 50, turn northwest onto hwy 92, then north onto FR 719 (corral gulch). Take for approx. 4 mi then turn west on FR 716, then north onto FR 717 shortly after. Turn onto FR 713.4A, then north onto 713 and travel approx. 2 mi. Parked at trail no. 872 trailhead & walked approx. 3/4 mi to HEVI4",SR,0510VH,Andesite,,HEVI4_SR0510VH_020408_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,No_Damage,,,,,,,,,,,,,,8/29/2023 20:52,ac15_CSUesri,8/29/2023 20:52,ac15_CSUesri,,,-107.3891691,38.62649523
83,6fb1d2fe-dd0f-4cbe-8de8-dcaf71dccee2,8/25/2023 19:40,38.52461541,-107.5211056,8532,feet,20408,20408,"Grand Mesa, Uncompahgre and Gunnison National Forests",FR 716,USFS,"From Gunnison going west on hwy 50, turn northwest onto hwy 92, then northeast onto FR 713. Turn south onto FR 716 and travel for about 2mi. Individuals on west side of road past quercus gambelii.",SR,1015SH,Shale,,PASM_SR1015SH_020408_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,,,,,,,,,,,,,,,8/29/2023 20:52,ac15_CSUesri,8/29/2023 20:52,ac15_CSUesri,,,-107.5211056,38.52461541
84,6e0e89b1-5623-45b2-99b4-cc4460e2510e,8/25/2023 20:04,38.50161363,-107.5384335,9120,feet,20408,20408,"Grand Mesa, Uncompahgre and Gunnison National Forests",FR 716.2A,USFS,"From Gunnison going west on hwy 50, turn northwest onto hwy 92, then northeast onto FR 713. Turn south onto FR 716 and then stopped at FR 716.2A junction. ",SR,0510HU,Volcanic,,None_SR0510HU_020408_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,"Grazed_Domestic,Other","Human disturbance, camping and logging",,,,,,,,,,,,,8/29/2023 20:52,ac15_CSUesri,8/29/2023 20:52,ac15_CSUesri,,,-107.5384335,38.50161363
86,d1422420-3ceb-4b49-92c2-7186b64088f3,8/27/2023 19:04,38.6177706,-106.7606692,9782,feet,20407,20407,"Grand Mesa, Uncompahgre and Gunnison National Forests",FR 743,USFS,"Going north from Gunnison hwy 135 turn east onto the frontage road, then northeast onto CR 10. CR 10 turns into FR 743, take for approx. 2.5. mi after crossing forest service boundary. Parked on south side of road.",SR,0510HU,Sandstone,USFSR2-35,ACPI2_SR0510HU_020407_20230827,8/27/2023 13:16,8/27/2023 16:15,20230827,no,,20_percent,Plants,,215,2000,3,,GPS,GPS,Within 5m,WGS84,CEGL002820,No_Damage,,13,NE,Sandy_Clay,2,8/27/2023 18:00,Local,9,"Smith, J.",From Pressed Specimen on Another Date,10/10/2023,"ID revised: few hairs at collar, very small tranlucent ligule (looks like ridge inside sheath), floret: looks like a hairy hot dog bun (lemma partially enclosing seed) with a hairy palea covering up part of the seed; hairs on lemma around same length, awn has more than 1 bend in it; bifid tip of lemma (very small) = Eriocoma  pinetorum","landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",8/29/2023 20:52,ac15_CSUesri,8/29/2023 20:52,ac15_CSUesri,,,-106.7606692,38.6177706
87,0dce24b2-2a46-4aed-b0d5-d85620fe97a6,8/27/2023 19:22,38.61776611,-106.7606198,9819,feet,20407,20407,"Grand Mesa, Uncompahgre and Gunnison National Forests",FR 743,USFS,"Going north from Gunnison hwy 135 turn east onto the frontage road, then northeast onto CR 10. CR 10 turns into FR 743, take for approx. 2.5. mi after crossing forest service boundary. Parked on south side of road.",SR,0510HU,Sandstone,USFSR2-36,ELTR7_SR0510HU_020407_20230827,8/27/2023 13:26,8/27/2023 16:15,20230827,no,,Every_5,Plants,,150,500,1.5,,GPS,GPS,Within 5m,WGS84,CEGL002820,No_Damage,,13,NE,Sandy_Clay,3,8/27/2023 18:00,Local,8,"Smith, J. ",From Pressed Specimen on Another Date,10/16/2023,"MIXED WHEATGRASS?looked at 2 labeled newspaper sheaths for this ID; leaf blade 4 mm wide, adjacent lemma just shorter than glume, glumes seem widest in middle, One has auricle on ligule like E. lancelolaus subsp. lanceolatus, other looks like E. trachy. (no auricles) but some E. trach can have auricles (Unlabeled sample with this bunch has ligule like E lancelolatus sample, but wider leaf blade - 7mm)","landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,filled_out,Bags",8/29/2023 20:52,ac15_CSUesri,8/29/2023 20:52,ac15_CSUesri,,,-106.7606198,38.61776611
88,1dc3b29e-95c0-482f-a7ec-6ac305e3696c,8/28/2023 17:46,39.04072294,-108.2007288,9878,feet,20402,20402,"Grand Mesa, Uncompahgre and Gunnison National Forests",FR 103,USFS,"From Grand Junction going south on hwy 50, turn east onto Kannah creek rd, then northeast onto Land's End rd. Turn north onto FR 105 once on top of Grand Mesa, then turn north onto FR 103. Parked right before private property boundary, approx.  0.5 mi down the road. Walked approx. 0.3 mi west in from road",SR,0510HU,Basalt,USFSR2-37,ACPI2_SR0510HU_020402_20230828,8/28/2023 11:57,8/28/2023 16:40,20230828,no,,Every_5,Plants,,300,1000,3,,GPS,GPS,Within 5m,WGS84,CEGL001107,Grazed_Domestic,,6,NW,Sandy_Clay,2,8/28/2023 18:00,Local,10,"Smith, J. ",From Pressed Specimen on Another Date,10/10/2023,"ID revised: no obvious translucent ligule (small ridge inside sheath), some hairs inside sheath; ligule not completely closed, palea ~ 1/2 length of lemma, with hairs, lemma with bifid tip - Eriocoma pinetorum","landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",8/29/2023 20:52,ac15_CSUesri,8/29/2023 20:52,ac15_CSUesri,,,-108.2007288,39.04072294
89,9983173b-8dc3-4e1f-9509-75e78aba1db3,8/28/2023 18:02,39.04062733,-108.200718,9878,feet,20402,20402,"Grand Mesa, Uncompahgre and Gunnison National Forests",FR 103,USFS,"From Grand Junction going south on hwy 50, turn east onto Kannah creek rd, then northeast onto Land's End rd. Turn north onto FR 105 once on top of Grand Mesa, then turn north onto FR 103. Parked right before private property boundary, approx.  0.5 mi down the road. Walked approx. 0.3 mi west in from road",SR,0510HU,Basalt,USFSR2-39,DECE_SR0510HU_020402_20230828,8/28/2023 12:04,8/28/2023 16:42,20230828,no,,Every_5,Plants,,300,1000,1,,GPS,GPS,Within 5m,WGS84,CEGL001107,Grazed_Domestic,,6,NW,Sandy_Clay,3,8/28/2023 18:00,Local,7,"Smith, J.",From Pressed Specimen on Another Date,10/6/2023,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",8/29/2023 20:52,ac15_CSUesri,8/29/2023 20:52,ac15_CSUesri,,,-108.200718,39.04062733
90,3dc1cbec-5075-4e00-bd65-32fa006020ca,8/28/2023 19:56,39.04001709,-108.2054163,9922,feet,20402,20402,"Grand Mesa, Uncompahgre and Gunnison National Forests",Somerville-McCullah Reservior,USFS,"From Grand Junction going south on hwy 50, turn east onto Kannah creek rd, then northeast onto land's end rd. Turn north onto FR 105 once on top of grand mesa, then turn north onto FR 103. Parked right before private property boundary, approx.  0.5 mi down the road. Walked approx. 0.3 mi west in from road",SR,0510HU,Basalt,USFSR2-41,HEVI4_SR0510HU_020402_20230828,8/28/2023 14:00,8/28/2023 16:50,20230828,no,,20_percent,Plants,,100,500,0.5,,GPS,GPS,Within 5m,WGS84,CEGL001107,Insect_damage,,3,NW,Sandy_Clay,2,8/28/2023 18:00,Local,10,"Smith, J.",From Pressed Specimen on Another Date,10/6/2023,,"herbarium_vouchers,Bags,filled_out,landscape_photo,Individual_photo,Material_photo",8/29/2023 20:52,ac15_CSUesri,8/29/2023 20:52,ac15_CSUesri,,,-108.2054163,39.04001709
92,1e729237-c155-4ff9-be77-7aae4f00ce1e,8/28/2023 18:00,39.03890901,-108.2004023,9878,feet,20402,20402,"Grand Mesa, Uncompahgre and Gunnison National Forests",FR 103,USFS,"From Grand Junction going south on hwy 50, turn east onto Kannah creek rd, then northeast onto Land's End rd. Turn north onto FR 105 once on top of Grand Mesa, then turn north onto FR 103. Parked right before private property boundary, approx.  0.5 mi down the road. Walked approx. 0.3 mi west in from road",SR,0510HU,Basalt,USFSR2-38,ELTR7_SR0510HU_020402_20230828,8/28/2023 12:01,8/28/2023 16:38,20230828,no,,Every_5,Plants,,200,20000,2.5,,GPS,GPS,Within 5m,WGS84,CEGL001107,Grazed_Domestic,,6,NW,Sandy_Clay,3,8/28/2023 18:00,Local,7,"Shorrock, D.",From Pressed Specimen on Another Date,10/6/2023,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",8/29/2023 20:52,ac15_CSUesri,8/29/2023 20:52,ac15_CSUesri,,,-108.2004023,39.03890901
93,3733f1a7-f917-4f40-8e78-555d73c1ea3e,9/5/2023 22:14,39.88257678,-107.6066341,9275,feet,21502,21502,White River National Forest,FR 245,USFS,"From Meeker, West/South on CR 8, exit South/West CR 10, turn South on New Castle Buford Rd/CR 17 that turns into FR 245 for approx 9 miles, large open parking area on SW side of road near patch of POPTRE and open meadow SSW of parking area",SR,0510HU,Arkose,,ELGL_SR0510HU_021502_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,Grazed_Wildlife,,,,,,,,,,,,,,9/8/2023 21:20,ac15_CSUesri,9/8/2023 21:20,ac15_CSUesri,,,-107.6066341,39.88257678
94,9df698ad-cf15-47d9-aaff-73ce42a29c76,9/6/2023 20:02,39.85211714,-107.7262402,8915,feet,21502,21502,White River National Forest,FR 214,USFS,"From Meeker going east on CR 8, turn south onto CR 57, then southeast onto FR 214. Travel for approx. 2.5 mi, stopped in open meadow.",SR,1015HU,Arkose,,NAVI4_SR1015HU_021502_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,Grazed_Domestic,,,,,,,,,,,,,,9/8/2023 21:21,ac15_CSUesri,9/8/2023 21:21,ac15_CSUesri,,,-107.7262402,39.85211714
95,46fd6569-da81-429a-bb07-a7225d38a08c,9/6/2023 20:33,39.81815762,-107.6863063,9122,feet,21502,21502,White River National Forest,FR 211,USFS,"From Meeker going east on CR 8, turn south onto CR 57, then southeast onto FR 214. Turn east onto FR 211 and then park.",SR,0510HU,Arkose,,NAVI4_SR0510HU_021502_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,Grazed_Domestic,,,,,,,,,,,,,,9/8/2023 21:21,ac15_CSUesri,9/8/2023 21:21,ac15_CSUesri,,,-107.6863063,39.81815762
96,54c6fb8f-841f-4760-9bd2-29743b073b8d,9/7/2023 18:07,39.83131327,-107.6403586,9130,feet,21502,21502,White River National Forest,FR 210,USFS,"From junction of FR 245 and Clark Ridge Rd/FR 822, go west on FR 245 approx 5 miles, north on FR 211 approx 2.25 miles, species on west side of road and past the end of road to the north in open meadow",SR,0510HU,Arkose,USFSR2-44,FEID_SR0510HU_021502_20230907,9/7/2023 12:07,9/6/2023 16:40,20230907,no,,Every_5,Plants,,120,1000,1.5,,GPS,GPS,Within 5m,WGS84,CEGL001614,"Smut_Fungal, Grazed_Domestic,Trampled",,5,SE,Clay_Loam,3,9/6/2023 18:00,Local,8,"Shorrock, D.",From Pressed Specimen on Another Date,10/6/2023,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",9/8/2023 21:21,ac15_CSUesri,9/8/2023 21:21,ac15_CSUesri,,,-107.6403586,39.83131327
97,c33a7994-0d33-48e9-804b-9bbaa458f2a5,9/7/2023 18:12,39.83131419,-107.6403957,9130,feet,21502,21502,White River National Forest,FR 210,USFS,"From junction of FR 245 and Clark Ridge Rd/FR 822, go west on FR 245 approx 5 miles, north on FR 211 approx 2.25 miles, species on west side of road and past the end of road to the north in open meadow",SR,0510HU,Arkose,USFSR2-45,ELTR7_SR0510HU_021502_20230907,9/7/2023 12:12,9/7/2023 16:40,20230907,no,,Every_5,Plants,,55,500,1.5,,GPS,GPS,Within 5m,WGS84,CEGL001614,"Grazed_Domestic,Trampled",,5,SE,Clay_Loam,3,9/7/2023 18:00,Local,8,"Shorrock, D.",From Pressed Specimen on Another Date,10/6/2023,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",9/8/2023 21:21,ac15_CSUesri,9/8/2023 21:21,ac15_CSUesri,,,-107.6403957,39.83131419
98,2998156b-efb4-466f-af0c-ffd09e755f27,9/6/2023 22:55,39.85032666,-107.5731603,9955,feet,21502,21502,White River National Forest,FR 601.4,USFS,"From FR 245 at border of WRNF, go approx 14 miles to junction with FR 601, north on 601.4 to open meadow to the east before dirt road ends at cliff",SR,0510VH,Basalt,,ELTR7_SR0510VH_021502_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,Grazed_Domestic,,,,,,,,,,,,,,9/8/2023 21:21,ac15_CSUesri,9/8/2023 21:21,ac15_CSUesri,,,-107.5731603,39.85032666
99,5226fcd1-9d7b-4b70-8f01-e9e258246d89,9/5/2023 21:34,39.93047612,-107.6302761,8294,feet,21502,21502,White River National Forest,FR 241.1,USFS,"From Meeker, West/South on CR 8, exit South/West CR 10, turn South on New Castle Buford Rd/CR 17 that turns into FR 245, west on FR 241 and stop at junction with FR 241.1",SR,0510SH,Unconsolidated,,NAVI4_SR0510SH_021502_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,Grazed_Domestic,,,,,,,,,,,,,,9/8/2023 21:22,ac15_CSUesri,9/8/2023 21:22,ac15_CSUesri,,,-107.6302761,39.93047612
100,9c1eeba2-bd7b-430a-891b-2466aad27d8e,9/7/2023 14:12,39.78839356,-107.5963942,9575,feet,21508,21508,White River National Forest,"FR 822.1, Clark Ridge",USFS,"From Buford go south onto New Castle Buford Rd, take for approx. 12.5 mi, then turn north onto FR 822.1/ Clark ridge rd. Travel approx. 1 mi and park.",SR,0510HU,Shale,USFSR2-42,FEID_SR0510HU_021508_20230907,9/7/2023 8:22,9/7/2023 11:40,20230907,no,,20_percent,Plants,,1100,100000,1.5,,GPS,GPS,Within 5m,WGS84,CEGL001614,"Smut_Fungal, Grazed_Wildlife,Grazed_Domestic,Other",Suspected fungal (black finger of death) ,8,NE,Clay_Loam,3,9/7/2023 18:00,Local,8,"Smith, J. ",From Pressed Specimen on Another Date,10/6/2023,"Went with FESIDA, 1 of 3 samples awns were 2mm, rest over 3mm","landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",9/8/2023 21:22,ac15_CSUesri,9/8/2023 21:22,ac15_CSUesri,,,-107.5963942,39.78839356
101,7aab5f79-fd30-4451-8248-fbf3985a795a,9/7/2023 14:24,39.78841326,-107.5963782,9559,feet,21508,21508,White River National Forest,FR 822.1 / Clark Ridge,USFS,"From Buford go south onto New Castle Buford Rd, take for approx. 12.5 mi, then turn north onto FR 822.1/ Clark ridge rd. Travel approx. 1 mi and park.",SR,0510HU,Shale,USFSR2-43,ELTR7_SR0510HU_021508_20230907,9/7/2023 8:26,9/7/2023 11:40,20230907,no,,Every_5,Plants,,175,25000,3,,GPS,GPS,Within 5m,WGS84,CEGL001614,"Grazed_Wildlife,Grazed_Domestic",,8,NE,Clay_Loam,3,9/7/2023 18:00,Local,7,"Shorrock, D.",From Pressed Specimen on Another Date,10/6/2023,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",9/8/2023 21:22,ac15_CSUesri,9/8/2023 21:22,ac15_CSUesri,,,-107.5963782,39.78841326
102,b2d6c29e-abf2-4c94-aadd-4c5ca0baf026,9/11/2023 18:59,39.16142779,-105.1285286,7563,feet,21209,21209,Pike and San Isabel National Forests,FR 332.C,USFS,"From Woodland park go north on hwy 67 then turn east onto trout creek rd, which turns into FR 332. Turn northwest at the fork after going through the gate, stopped approx. 1400 ft after crossing gate.",SR,1015SH,Arkose,,BOGR2_SR1015SH_021209_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,Grazed_Domestic,,,,,,,,,,,,,,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,,,-105.1285286,39.16142779
103,8303cc50-6220-4fcb-96a0-3bf95b324b56,9/12/2023 17:39,39.25708321,-105.2648517,6949,feet,21211,21211,Pike and San Isabel National Forests,Hwy 126,USFS,"From Deckers go west on 67 until it turns into 126, approx. 1 mi after road transition. On east slope",SR,1015SH,Granite,,HEVI4_SR1015SH_021211_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,No_Damage,,,,,,,,,,,,,,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,,,-105.2648517,39.25708321
104,766696f1-1242-46fb-b8b5-9a29f12e3f02,9/12/2023 19:25,39.36546129,-105.2449185,7455,feet,21211,21211,Pike and San Isabel National Forests,Raleigh peak rd,USFS,"From Deckers going west on hwy 67, continue onto road 126, then turn east onto Raleigh peak rd. Good collection site on northeast side of road.",SR,1015SH,Granite,,FEID_SR1015SH_021211_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,Smut_Fungal,,,,,,,,,,,,,,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,,,-105.2449185,39.36546129
105,f3fbaacf-da58-4e06-a4c1-719751785ac4,9/12/2023 20:21,39.35627822,-105.2487673,7628,feet,21211,21211,Pike and San Isabel National Forests,Colorado trail west side of road 126,USFS,"From Deckers going west on hwy 67, continue onto road 126, then park at Coloado trail intersection. Collection site on west side of road.",SR,1015SH,Granite,,BOGR2_SR1015SH_021211_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,Smut_Fungal,,,,,,,,,,,,,,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,,,-105.2487673,39.35627822
106,e0397407-098f-483a-993a-3d89a25e2a54,9/13/2023 13:48,38.9395223,-105.3478502,8460,feet,21210,21210,Pike and San Isabel National Forests,FR 876.B ,USFS,"From Florissant going west on hwy 24 turn south onto CR 96, then southeast onto CR 61. Turn northeast onto FR 876.B then prepare to park. Collection site south of road approx. 500ft. ",SR,0510SH,Granite,,FEID_SR0510SH_021210_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,Smut_Fungal,,,,,,,,,,,,,,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,,,-105.3478502,38.9395223
107,142d2499-ddc8-48d6-ab1d-e79050bf4be0,9/13/2023 14:09,38.94341023,-105.3364014,8285,feet,21210,21210,Pike and San Isabel National Forests,FR 876,USFS,"From Florissant going west on hwy 24 turn south onto CR 96, then southeast onto CR 61. Turn northeast onto FR 876.B then weast onto 876. Travel approx. 0.5 mi and prepare to park.",SR,0005SH,Granite,,FEID_SR0005SH_021210_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,Smut_Fungal,,,,,,,,,,,,,,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,,,-105.3364014,38.94341023
108,3a55ab98-e867-4eb4-9ec0-d32cde87dca8,9/13/2023 15:50,38.94554027,-106.0467464,9593,feet,21210,21210,Pike and San Isabel National Forests,436.1A,USFS,"From Antero Junction turn south onto hwy 24, then north, northwest onto CR 309. Turn northeast onto FR 436 then park at intersection for FR 436.1A, approx. 1500 ft down the road.",SR,1015SH,Siltstone,,KOMA_SR1015SH_021210_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,Smut_Fungal,,,,,,,,,,,,,,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,,,-106.0467464,38.94554027
109,cb0de236-dd1c-40da-9898-b38d430420c7,9/13/2023 18:14,39.03670606,-106.0255374,9544,feet,21210,21210,Pike and San Isabel National Forests,FR431,USFS,"From Antero Junction turn north onto 285, then west onto FR 431. Continue approx. 3 mi and then prepare to park in opening.",SR,0510SH,Siltstone,,FEID_SR0510SH_021210_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,Smut_Fungal,,,,,,,,,,,,,,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,,,-106.0255374,39.03670606
110,5aca39ba-c9d6-4a04-9e6a-75b0a82ed296,9/13/2023 18:30,39.04455203,-106.0307417,9635,feet,21210,21210,Pike and San Isabel National Forests,FR432,USFS,"From Antero Junction turn north onto 285, then west onto FR 431. Turn north onto FR 432 and prepare to park. ",SR,0510SH,Siltstone,,KOMA_SR0510SH_021210_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,Smut_Fungal,,,,,,,,,,,,,,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,,,-106.0307417,39.04455203
111,8cf825ff-0831-4631-9ad3-65060af23296,9/13/2023 19:15,39.03605563,-106.0722494,10257,feet,21210,21210,Pike and San Isabel National Forests,FR160,USFS,"From Antero Junction turn north onto 285, then west onto FR 431, turn northwest onto FR 430, southwest onto FR 442, then south onto FR 158. Stop at intersection with FR 160.",SR,0510SH,Siltstone,,FEID_SR0510SH_021210_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,Smut_Fungal,,,,,,,,,,,,,,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,,,-106.0722494,39.03605563
